	E_G (ln J/cm³)	E_Hb (ln J)	E_Hj (ln J)	E_Hp (ln J)	E_Hx (ln J)	F_m (ln l/d.cm²)	T_A (K)	h_a (ln 1/d²)	k_J (ln 1/d)	kap (logit)	kap_P (logit)	kap_R (logit)	kap_X (logit)	p_Am (ln J/d.cm²)	p_M (ln J/d.cm³)	s_G (-)	t_0 (ln d)	v (ln cm/d)
E_G (ln J/cm³)	0.022993406923924542	0.08741271756324212	0.06999498498328599	0.07924370830023163	0.09228957840789777	-0.016669598862717412	-10.52148843792571	-0.042375116319047064	0.0004619701502109635	0.0033851032683338074	0.0001335430193306041	0.009362905683899659	0.0031034849443296003	0.022637828711848593	0.008814209491459231	-0.005221656812358914	-0.20314826761587673	0.00046089018007534953
E_Hb (ln J)	0.08741271756324212	11.562948107432112	10.694970523889564	7.8809259635073	10.541688301959184	-0.14971055108136416	-371.6661775038579	-1.9581409575953204	-0.10207637810933061	-5.014624251759744	0.08347301810783533	0.09537930618848244	-0.07904136241922483	0.4605737840037087	-0.9918717288699253	0.08030814125740991	-9.776928733568692	0.3728182642652864
E_Hj (ln J)	0.06999498498328599	10.694970523889564	13.650200707549265	8.034601851372383	9.884104324055825	-0.1527267144954761	-211.56060191542593	-2.02125664548008	-0.07779342868166078	-4.63891902709578	0.048983174142328584	0.08406730415571018	-0.028740665695119686	-0.5420918936629058	-1.2665349062910485	0.0923923067687947	-4.196732946797353	0.24689605861047192
E_Hp (ln J)	0.07924370830023163	7.8809259635073	8.034601851372383	11.502224646578597	7.565173542297003	-0.1368489500330971	-101.2926252417821	-3.9032847520303453	-0.12533830178381955	-4.312174604684878	0.06295316509065113	0.10454509509442474	-0.12288208031219221	1.5162995377873616	-0.6153052903863854	0.0015728335828871268	2.1765873776891014	0.25269113026996026
E_Hx (ln J)	0.09228957840789777	10.541688301959184	9.884104324055825	7.565173542297003	10.677673839475558	-0.15692290281539384	-333.3996401829849	-2.296401208740144	-0.07297108089299743	-4.663342167722718	0.07363077486729182	0.10725049464325856	-0.07600243106405705	0.6293856896515297	-0.7670328314319327	0.07839278834674293	-9.176991763630754	0.39268569592181446
F_m (ln l/d.cm²)	-0.016669598862717412	-0.14971055108136416	-0.1527267144954761	-0.1368489500330971	-0.15692290281539384	0.2643535416413216	1.5791432670166399	-0.0017926297857294641	0.0018446680588350584	-0.01760160569360434	-0.03856070649505985	-0.031128311939415287	0.03604248038541007	0.016776796137967818	0.04525073065576873	0.04683770424817754	2.7554546628568772	0.008296532319009065
T_A (K)	-10.52148843792571	-371.6661775038579	-211.56060191542593	-101.2926252417821	-333.3996401829849	1.5791432670166399	2465685.45	-270.6714980232859	28.42327939766433	56.385415703843066	-11.889720420510223	-47.82657796841899	10.680601488814975	-64.10446611707582	36.72070441722228	32.483220100000004	1846.6894778061305	-59.296486768940404
h_a (ln 1/d²)	-0.042375116319047064	-1.9581409575953204	-2.02125664548008	-3.9032847520303453	-2.296401208740144	-0.0017926297857294641	-270.6714980232859	71.042759342624	0.2555930208137175	-0.5294641349515606	0.13067204680567818	-0.15978359230893455	-0.09899760245967275	0.5137325867654622	1.587885214677637	-0.9255486144757077	-7.9923097235437	-2.477409256177933
k_J (ln 1/d)	0.0004619701502109635	-0.10207637810933061	-0.07779342868166078	-0.12533830178381955	-0.07297108089299743	0.0018446680588350584	28.42327939766433	0.2555930208137175	0.18597844808023792	0.04600598286046752	0.0003198217276857735	0.002850422309528849	-0.0032704471343684345	0.1379682724470564	0.20501581668934865	-0.007716342849473603	0.6785810001599162	-0.01677832615972454
kap (logit)	0.0033851032683338074	-5.014624251759744	-4.63891902709578	-4.312174604684878	-4.663342167722718	-0.01760160569360434	56.385415703843066	-0.5294641349515606	0.04600598286046752	4.344108196797296	-0.019888929899024303	-0.0404960249073507	0.08453625333225333	-0.26246058322115523	0.1685488784825603	-0.08237038942615252	0.4644956775645012	0.24224817879236066
kap_P (logit)	0.0001335430193306041	0.08347301810783533	0.048983174142328584	0.06295316509065113	0.07363077486729182	-0.03856070649505985	-11.889720420510223	0.13067204680567818	0.0003198217276857735	-0.019888929899024303	0.18070983687666653	-0.006416709828582249	-0.20846320786551714	0.013437530758465835	-0.0279162617877076	0.0005822297094171454	-0.29640399819189156	-0.01026727981711949
kap_R (logit)	0.009362905683899659	0.09537930618848244	0.08406730415571018	0.10454509509442474	0.10725049464325856	-0.031128311939415287	-47.82657796841899	-0.15978359230893455	0.002850422309528849	-0.0404960249073507	-0.006416709828582249	0.17099684489882966	0.015059417337330365	0.014235713386506817	-0.018106688154074086	-0.00038540481165332246	-0.6929365361256057	0.0006245726583582262
kap_X (logit)	0.0031034849443296003	-0.07904136241922483	-0.028740665695119686	-0.12288208031219221	-0.07600243106405705	0.03604248038541007	10.680601488814975	-0.09899760245967275	-0.0032704471343684345	0.08453625333225333	-0.20846320786551714	0.015059417337330365	0.567705273302359	-0.03433948303641627	0.009685220794591106	-0.005342822408959156	0.02897206396305061	0.0181166823380503
p_Am (ln J/d.cm²)	0.022637828711848593	0.4605737840037087	-0.5420918936629058	1.5162995377873616	0.6293856896515297	0.016776796137967818	-64.10446611707582	0.5137325867654622	0.1379682724470564	-0.26246058322115523	0.013437530758465835	0.014235713386506817	-0.03433948303641627	1.956310949141609	1.544125346489336	0.05339978716369308	3.139691993564619	-0.03653476310949945
p_M (ln J/d.cm³)	0.008814209491459231	-0.9918717288699253	-1.2665349062910485	-0.6153052903863854	-0.7670328314319327	0.04525073065576873	36.72070441722228	1.587885214677637	0.20501581668934865	0.1685488784825603	-0.0279162617877076	-0.018106688154074086	0.009685220794591106	1.544125346489336	2.312651213636772	0.030580665316762245	4.2070222238186	-0.2683059720144712
